Googlefontapi,Jqueryui,Php,Googletagmanager,Bugsnag,Urls,Underscorejs,Express,Googleplus,Amazoncloudfront,Microsoftaspnet,Nginx,Nodejs,Last_Url,Googleanalytics,Ensighten,Hoganjs,Lodash,Windowsserver,Iis,Recaptcha,Mediawiki,Varnish,Envoy,Webpack,Apache,Cloudflare,React,Bootstrap,Jquery,Amazonwebservices
,,,,,http://linkedin.com/ (0) https://www.linkedin.com/ (200),,,,,,,,https://www.linkedin.com/,,,,,,,,,,,,,,,,,
,,,,,http://healthline.com/ (0) https://healthline.com/ (301) https://www.healthline.com/ (200),,,,Website: http://aws.amazon.com/cloudfront/ Categories: 31 - CDN,,,,https://www.healthline.com/,,,,,,,,,,,,,,,,,Website: https://aws.amazon.com/ Categories: 62 - PaaS
,,,,Website: http://bugsnag.com Categories: 10 - Analytics,http://pinterest.com/ (308) https://pinterest.com/ (308) https://www.pinterest.com/ (302) https://www.pinterest.ca/ (200),,,,,,,,https://www.pinterest.ca/,,,,,,,,,,Website: https://www.envoyproxy.io/ Categories: 64 - Reverse proxies,,,,Website: https://reactjs.org Categories: 12 - JavaScript frameworks,,,
,,,,,http://youtube.com/ (301) https://youtube.com/ (301) https://www.youtube.com/ (200),,,,,,,,https://www.youtube.com/,,,,,,,,,,,,,,,,,
,,,,,http://twitter.com/ (301) https://twitter.com/ (200),,"Website: http://expressjs.com Categories: 18 - Web frameworks, 22 - Web servers",,,,,Website: http://nodejs.org Categories: 27 - Programming languages,https://twitter.com/,,,,,,,,,,,Website: https://webpack.js.org/ Categories: 19 - Miscellaneous,,,,,,
,,,,,http://facebook.com/ (301) https://facebook.com/ (301) https://www.facebook.com/ (200),,,,,,,,https://www.facebook.com/,,,,,,,,,,,,,,,,,
,,,,,http://amazon.com/ (301) https://amazon.com/ (301) https://www.amazon.com/ (200),,,,Website: http://aws.amazon.com/cloudfront/ Categories: 31 - CDN,,,,https://www.amazon.com/,,,,,,,,,,,,,,,,,Website: https://aws.amazon.com/ Categories: 62 - PaaS
,,,,,http://instagram.com/ (301) https://instagram.com/ (301) https://www.instagram.com/ (200),,,,,,,,https://www.instagram.com/,,,,,,,,,,,,,,,,,
,,Website: http://php.net Categories: 27 - Programming languages,,,http://en.wikipedia.org/ (301) https://en.wikipedia.org/ (301) https://en.wikipedia.org/wiki/Main_Page (200),,,,,,,,https://en.wikipedia.org/wiki/Main_Page,,,,,,,,Website: https://www.mediawiki.org Categories: 8 - Wikis,,,,,,,,Website: https://jquery.com Categories: 59 - JavaScript libraries,
,Version: 1.11.4 Website: http://jqueryui.com Categories: 59 - JavaScript libraries,,,,http://craigslist.org/ (301) https://craigslist.org/ (302) https://www.craigslist.org/ (302) https://geo.craigslist.org/ (302) https://montreal.craigslist.org/ (200),,,,,,,,https://montreal.craigslist.org/,,,,,,,,,,,,Website: http://apache.org Categories: 22 - Web servers,,,,Version: 1.11.3 Website: https://jquery.com Categories: 59 - JavaScript libraries,
,,,,,http://ebay.com/ (301) https://www.ebay.com/ (200),,,,,,,,https://www.ebay.com/,,,,,,,,,,Website: https://www.envoyproxy.io/ Categories: 64 - Reverse proxies,,,,,,,
,,,,,http://imdb.com/ (301) https://imdb.com/ (302) https://www.imdb.com/ (200),,,,Website: http://aws.amazon.com/cloudfront/ Categories: 31 - CDN,,,,https://www.imdb.com/,,,,,,,,,,,,,,Website: https://reactjs.org Categories: 12 - JavaScript frameworks,,,Website: https://aws.amazon.com/ Categories: 62 - PaaS
,,,,,http://espn.com/ (301) https://www.espn.com/ (200),,,,Website: http://aws.amazon.com/cloudfront/ Categories: 31 - CDN,,,,https://www.espn.com/,,Website: https://success.ensighten.com/hc/en-us Categories: 42 - Tag managers,,,,,,,Website: http://www.varnish-cache.org Categories: 23 - Caching,,,,,,Website: https://getbootstrap.com Categories: 66 - UI frameworks,,Website: https://aws.amazon.com/ Categories: 62 - PaaS
,,,,,http://fb.com/ (301) https://fb.com/ (301) https://www.facebook.com/ (200),,,,,,,,https://www.facebook.com/,,,,,,,,,,,,,,,,,
,,,,,http://cnn.com/ (0) http://www.cnn.com/ (301) https://www.cnn.com/ (200),,,,,,,,https://www.cnn.com/,,,,,,,,,Website: http://www.varnish-cache.org Categories: 23 - Caching,,,,,,,,
,,,,,http://tripadvisor.com/ (301) https://www.tripadvisor.com/ (200),,,,,,,,https://www.tripadvisor.com/,,,,,,,,,,,,Website: http://apache.org Categories: 22 - Web servers,,,,,
,,,,,http://webmd.com/ (301) https://www.webmd.com/ (200),,,,,,,,https://www.webmd.com/,,,,,,,,,,,,,Website: http://www.cloudflare.com Categories: 31 - CDN,,,,
,,,,,http://play.google.com/ (302) http://play.google.com/store (301) https://play.google.com/store (200),,,,,,,,https://play.google.com/store,,,,,,,,,,,,,,,,,
,,,,,http://microsoft.com/ (0) https://www.microsoft.com/ (301) https://www.microsoft.com/en-ca/ (200),,,,,,,,https://www.microsoft.com/en-ca/,,,,,,,,,,,,,,,,,
,,,,,http://merriam-webster.com/ (0) https://merriam-webster.com/ (301) https://www.merriam-webster.com/ (200),,,,Website: http://aws.amazon.com/cloudfront/ Categories: 31 - CDN,,,,https://www.merriam-webster.com/,,,,,,,,,,,,Website: http://apache.org Categories: 22 - Web servers,,,,,Website: https://aws.amazon.com/ Categories: 62 - PaaS
Website: http://google.com/fonts Categories: 17 - Font scripts,,,,,http://indeed.com/ (301) https://www.indeed.com/ (302) https://ca.indeed.com/?r=us (200),,,,,,"Website: http://nginx.org/en Categories: 22 - Web servers, 64 - Reverse proxies",,https://ca.indeed.com/?r=us,,,,,,,,,,,,,,Website: https://reactjs.org Categories: 12 - JavaScript frameworks,,,
,,,,,http://target.com/ (0) https://www.target.com/ (200),,,,,,"Website: http://nginx.org/en Categories: 22 - Web servers, 64 - Reverse proxies",,https://www.target.com/,,,,,,,,,,,,,,,,,
,,,Website: http://www.google.com/tagmanager Categories: 42 - Tag managers,,http://etsy.com/ (301) https://www.etsy.com/ (200),Version: 1.4.4 Website: http://underscorejs.org Categories: 59 - JavaScript libraries,,,,,,,https://www.etsy.com/,Website: http://google.com/analytics Categories: 10 - Analytics,,Website: https://twitter.github.io/hogan.js/ Categories: 12 - JavaScript frameworks,Version: 1.4.4 Website: http://www.lodash.com Categories: 59 - JavaScript libraries,,,,,Website: http://www.varnish-cache.org Categories: 23 - Caching,,,Website: http://apache.org Categories: 22 - Web servers,,,,Version: 2.2.4 Website: https://jquery.com Categories: 59 - JavaScript libraries,
,,,,,http://gamepedia.com/ (301) https://gamepedia.com/ (302) https://www.gamepedia.com/ (200),,,Website: http://plus.google.com Categories: 5 - Widgets,,Version: 4.0.30319 Website: https://www.asp.net Categories: 18 - Web frameworks,,,https://www.gamepedia.com/,,,,,Website: http://microsoft.com/windowsserver Categories: 28 - Operating systems,Version: 10.0 Website: http://www.iis.net Categories: 22 - Web servers,Website: https://www.google.com/recaptcha/ Categories: 16 - Captchas,,,,,,Website: http://www.cloudflare.com Categories: 31 - CDN,,,,
